,name,number_functions,r2,aic,bic,power_dev,duv,model
0,logistic_asymm_peak+logistic_asymm_peak,2,-1.91543858847,-5707.15419914,-5674.81313648,-1.0,495.275998685,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=76.791350349093719, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=431.69111133164495, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=4.926919004201995, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=86.669256438027148, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=77.068150652796703, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=488.21748319268386, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=62.794314084021615, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=98.736663001805297, bounds=[1e-15:100]>)])"
1,lorentzian_sec_ord+lorentzian_sec_ord,2,0.947527113911,-7400.4790234,-7376.2232264,0.037,4.2006915152,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0019292411548254016 +/- 1.78e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=588.85930242088625 +/- 0.796, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=132.55197802849156 +/- 1.74, bounds=[1:300]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0012137417077405796 +/- 5.98e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=443.58688548476039 +/- 0.357, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=11.267668072795813 +/- 0.75, bounds=[1:300]>)])"
2,Lognormal+Lognormal,2,-1.90138828202,-5711.15419914,-5686.89840214,-1.0,,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=450.0, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m0_height', <Parameter 'm0_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m0_amplitude/max(1e-15, (m0_sigma*sqrt(2*pi)))*exp(m0_sigma**2/2-m0_center)'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m0_center-m0_sigma**2+m0_sigma*sqrt(2*log(2)))-exp(m0_center-m0_sigma**2-m0_sigma*sqrt(2*log(2)))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=450.0, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m1_height', <Parameter 'm1_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m1_amplitude/max(1e-15, (m1_sigma*sqrt(2*pi)))*exp(m1_sigma**2/2-m1_center)'>), ('m1_fwhm', <Parameter 'm1_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m1_center-m1_sigma**2+m1_sigma*sqrt(2*log(2)))-exp(m1_center-m1_sigma**2-m1_sigma*sqrt(2*log(2)))'>)])"
3,pearson_vii+pearson_vii,2,-0.0145817679102,-6151.53813532,-6119.19707265,-0.002,40.86897915,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0009082811544113286 +/- nan, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=449.74332600620812 +/- 3.1e+08, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=2.8388808672821071 +/- 2.31e+08, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=0.00099081505612430652 +/- nan, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.00090828115341212788 +/- nan, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=449.74332629685216 +/- 3.1e+08, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=2.8388807206528393 +/- 2.32e+08, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=0.00099081511182419566 +/- nan, bounds=[1e-15:100]>)])"
4,Voigt+Voigt,2,0.87011592782,-7018.90747554,-6994.65167853,0.03,15.6914260889,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.4695847419538667 +/- 0.0239, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=584.0587012217775 +/- 1.37, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=52.447556745316426 +/- 1.89, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=52.447556745316426 +/- 1.89, bounds=[-inf:inf], expr='m0_sigma'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=188.87889510274906 +/- 4.13, bounds=[-inf:inf], expr='1.0692*m0_gamma+sqrt(0.8664*m0_gamma**2+5.545083*m0_sigma**2)'>), ('m0_height', <Parameter 'm0_height', value=0.0018686608055443127 +/- 6.73e-05, bounds=[-inf:inf], expr='(m0_amplitude/(max(1e-15, m0_sigma*sqrt(2*pi))))*wofz((1j*m0_gamma)/(max(1e-15, m0_sigma*sqrt(2)))).real'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=4.088628332787064e-10 +/- 0.0109, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=400.02026055965 +/- 5.22e+07, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=299.8849853155045 +/- 6.06e+07, bounds=[1:300]>), ('m1_gamma', <Parameter 'm1_gamma', value=299.8849853155045 +/- 6.06e+07, bounds=[-inf:inf], expr='m1_sigma'>), ('m1_fwhm', <Parameter 'm1_fwhm', value=1079.9729901499129 +/- 1.33e+08, bounds=[-inf:inf], expr='1.0692*m1_gamma+sqrt(0.8664*m1_gamma**2+5.545083*m1_sigma**2)'>), ('m1_height', <Parameter 'm1_height', value=2.8455398550660955e-13 +/- 7.62e-06, bounds=[-inf:inf], expr='(m1_amplitude/(max(1e-15, m1_sigma*sqrt(2*pi))))*wofz((1j*m1_gamma)/(max(1e-15, m1_sigma*sqrt(2)))).real'>)])"
5,Gaussian+Gaussian,2,0.890566206583,-7091.03427333,-7066.77847633,0.014,16.4463672363,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=8.114628079763643e-13 +/- 0.0003, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=576.7006058927271 +/- 3.71e+08, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=3.2953389326097278 +/- 3.65e+08, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=7.75993002528804 +/- 8.6e+08, bounds=[-inf:inf], expr='2.3548200*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=9.823779756766179e-14 +/- 3.11e-05, bounds=[-inf:inf], expr='0.3989423*m0_amplitude/max(1e-15, m0_sigma)'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.3908260210080793 +/- 0.00475, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=582.0518323588203 +/- 1.18, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=85.19309642419111 +/- 1.24, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=200.61440732161373 +/- 2.92, bounds=[-inf:inf], expr='2.3548200*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=0.001830160403426044 +/- 2.41e-05, bounds=[-inf:inf], expr='0.3989423*m1_amplitude/max(1e-15, m1_sigma)'>)])"
6,Lorentzian+Lorentzian,2,0.893485541574,-7102.41769412,-7078.16189712,0.028,13.3796910974,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.288235746488431 +/- 0.0267, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=542.3411452605936 +/- 3.92, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=67.81386550556478 +/- 4.16, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=135.62773101112955 +/- 8.33, bounds=[-inf:inf], expr='2.0000000*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.0013529429557975717 +/- 6.43e-05, bounds=[-inf:inf], expr='0.3183099*m0_amplitude/max(1e-15, m0_sigma)'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.18652530763755382 +/- 0.0231, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=629.4520181765995 +/- 2.14, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=43.88393543712033 +/- 3.5, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=87.76787087424066 +/- 6.99, bounds=[-inf:inf], expr='2.0000000*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=0.001352951858810661 +/- 8.33e-05, bounds=[-inf:inf], expr='0.3183099*m1_amplitude/max(1e-15, m1_sigma)'>)])"
7,SplitLorentzian+SplitLorentzian,2,0.896004911731,-7110.52901927,-7078.1879566,0.025,12.588379204,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.26115231695516095 +/- 0.108, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=634.9394377434263 +/- 4.28, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=69.22735635412788 +/- 24.2, bounds=[1:300]>), ('m0_sigma_r', <Parameter 'm0_sigma_r', value=40.68864826488271 +/- 6.4, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=109.91600461901058 +/- 28.5, bounds=[-inf:inf], expr='m0_sigma+m0_sigma_r'>), ('m0_height', <Parameter 'm0_height', value=0.0015125615845797758 +/- 0.000256, bounds=[-inf:inf], expr='2*m0_amplitude/3.1415927/max(0.0000000, (m0_sigma+m0_sigma_r))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.21068423507195722 +/- 0.108, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=539.3465053576829 +/- 7.28, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=65.76060289036727 +/- 10.4, bounds=[1:300]>), ('m1_sigma_r', <Parameter 'm1_sigma_r', value=58.82592955103626 +/- 22.6, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=124.58653244140353 +/- 28.9, bounds=[-inf:inf], expr='m1_sigma+m1_sigma_r'>), ('m1_height', <Parameter 'm1_height', value=0.0010765669865209057 +/- 0.000319, bounds=[-inf:inf], expr='2*m1_amplitude/3.1415927/max(0.0000000, (m1_sigma+m1_sigma_r))'>)])"
8,logistic_power_peak+logistic_power_peak,2,0.969732546762,-7630.15697775,-7597.81591508,0.024,6.90032447386,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0019103629139382025 +/- 1.29e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=596.32345658999611 +/- 0.887, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=58.814472565262257 +/- 1.2, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=0.48956476584078629 +/- 0.0429, bounds=[0.001:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.001175250770231063 +/- 4.52e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=442.56238661182226 +/- 0.414, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=3.2612221610847048 +/- 0.358, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=2.050939069467002 +/- 0.462, bounds=[0.001:100]>)])"
9,PseudoVoigt+PseudoVoigt,2,0.838328308991,-6924.77371092,-6892.43264825,0.023,12.9696441586,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.48502637228786216 +/- 0.0319, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=446.1969489891661 +/- 0.6, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=28.279433806179217 +/- 1.1, bounds=[1:300]>), ('m0_fraction', <Parameter 'm0_fraction', value=1.9154126998269527 +/- 0.023, bounds=[1e-15:100]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=56.55886761235843 +/- 2.19, bounds=[-inf:inf], expr='2.0000000*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.0030822154854325172 +/- 0.000152, bounds=[-inf:inf], expr='(((1-m0_fraction)*m0_amplitude)/max(1e-15, (m0_sigma*sqrt(pi/log(2))))+(m0_fraction*m0_amplitude)/max(1e-15, (pi*m0_sigma)))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.5267089879342667 +/- 0.035, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=423.58563562870097 +/- 1.96, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=74.26978620450052 +/- 1.75, bounds=[1:300]>), ('m1_fraction', <Parameter 'm1_fraction', value=4.371353588311672 +/- 0.203, bounds=[1e-15:100]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=148.53957240900104 +/- 3.51, bounds=[-inf:inf], expr='2.0000000*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=-0.0013626431010970719 +/- 0.000121, bounds=[-inf:inf], expr='(((1-m1_fraction)*m1_amplitude)/max(1e-15, (m1_sigma*sqrt(pi/log(2))))+(m1_fraction*m1_amplitude)/max(1e-15, (pi*m1_sigma)))'>)])"
