,name,number_functions,r2,aic,bic,power_dev,duv,model
0,lorentzian_sec_ord+lorentzian_sec_ord,2,0.598973625411,-6261.21833929,-6236.96254228,0.011,44.4500598836,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0021991691711363845 +/- 6.94e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=629.01547788009486 +/- 2.67, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=131.8019761219297 +/- 6.01, bounds=[1:300]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0022965563761977456 +/- 0.00019, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=449.21111124473191 +/- 0.888, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=16.653222577377868 +/- 1.84, bounds=[1:300]>)])"
1,pearson_vii+pearson_vii,2,-0.00696954377538,-5871.64863698,-5839.30757431,0.0,22.0491479287,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0013308283726652945 +/- nan, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=449.00000329324359 +/- nan, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=3.0795375026419793 +/- 1.75e+08, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=0.026396611961594263 +/- 2.84e+05, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0013308283729206458 +/- nan, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=449.00000329182706 +/- nan, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=3.0795373728828501 +/- 1.75e+08, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=0.026396614616514991 +/- 2.84e+05, bounds=[1e-15:100]>)])"
2,Lognormal+Lognormal,2,-1.48502292594,-5493.31014316,-5469.05434616,-1.0,,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=450.0, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m0_height', <Parameter 'm0_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m0_amplitude/max(1e-15, (m0_sigma*sqrt(2*pi)))*exp(m0_sigma**2/2-m0_center)'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m0_center-m0_sigma**2+m0_sigma*sqrt(2*log(2)))-exp(m0_center-m0_sigma**2-m0_sigma*sqrt(2*log(2)))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=450.0, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m1_height', <Parameter 'm1_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m1_amplitude/max(1e-15, (m1_sigma*sqrt(2*pi)))*exp(m1_sigma**2/2-m1_center)'>), ('m1_fwhm', <Parameter 'm1_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m1_center-m1_sigma**2+m1_sigma*sqrt(2*log(2)))-exp(m1_center-m1_sigma**2-m1_sigma*sqrt(2*log(2)))'>)])"
3,Lorentzian+Lorentzian,2,0.83386449347,-6632.21340644,-6607.95760944,0.031,19.8394584222,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.23480167866645296 +/- 0.01, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=654.4884743125498 +/- 0.611, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=22.223222270781193 +/- 1.06, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=44.446444541562386 +/- 2.13, bounds=[-inf:inf], expr='2.0000000*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.003363135100098313 +/- 9.21e-05, bounds=[-inf:inf], expr='0.3183099*m0_amplitude/max(1e-15, m0_sigma)'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.34867782534968683 +/- 0.0186, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=517.8283327096806 +/- 2.98, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=75.75767681293225 +/- 5.09, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=151.5153536258645 +/- 10.2, bounds=[-inf:inf], expr='2.0000000*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=0.001465034414840056 +/- 5.04e-05, bounds=[-inf:inf], expr='0.3183099*m1_amplitude/max(1e-15, m1_sigma)'>)])"
4,logistic_power_peak+logistic_power_peak,2,0.307912757258,-6029.51884884,-5997.17778617,0.0,22.2133332622,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.00086197338680749156 +/- 4.33e+03, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=457.21413243292398 +/- 5.48e+04, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=5.4711364812477887 +/- 7.91e+03, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=99.99872047918862 +/- 4.46e+05, bounds=[0.001:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0008616425954187664 +/- 4.33e+03, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=457.20923784049336 +/- 5.44e+04, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=5.4714343115910502 +/- 8.01e+03, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=99.998584443123136 +/- 4.46e+05, bounds=[0.001:100]>)])"
5,gaussian_split+gaussian_split,2,0.763410204798,-6481.41359763,-6449.07253496,-0.007,28.0657775576,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.08615148330639133 +/- 0.00692, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=448.33428019255769 +/- 1.66, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=7.7989310631758642 +/- 1.5, bounds=[1:300]>), ('m0_sigmar', <Parameter 'm0_sigmar', value=8.4822807874762507 +/- 1.54, bounds=[1:300]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.85480898307337505 +/- 0.0196, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=668.4787329344606 +/- 3.52, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=123.53250566513847 +/- 4.76, bounds=[1:300]>), ('m1_sigmar', <Parameter 'm1_sigmar', value=25.217435427018888 +/- 2.92, bounds=[1:300]>)])"
6,Gaussian+Gaussian,2,0.606171273135,-6268.8431064,-6244.5873094,0.013,25.6128069456,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.4356285606288378 +/- 0.0135, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=615.8314915826767 +/- 2.9, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=84.76035114504347 +/- 3.24, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=199.59537008337128 +/- 7.63, bounds=[-inf:inf], expr='2.3548200*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.0020503768280238036 +/- 5.98e-05, bounds=[-inf:inf], expr='0.3989423*m0_amplitude/max(1e-15, m0_sigma)'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.05192291834950724 +/- 0.00466, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=448.74023789677324 +/- 0.859, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=9.400712160063549 +/- 0.897, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=22.136985008760846 +/- 2.11, bounds=[-inf:inf], expr='2.3548200*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=0.002203476515009539 +/- 0.000177, bounds=[-inf:inf], expr='0.3989423*m1_amplitude/max(1e-15, m1_sigma)'>)])"
7,SkewedVoigt+SkewedVoigt,2,0.606028898121,-6266.72475645,-6234.38369378,0.013,26.1061014082,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.054124458191441183 +/- 0.00549, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=445.31054370482445 +/- 16.3, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=9.5027820370959546 +/- 6.16, bounds=[1:300]>), ('m0_skew', <Parameter 'm0_skew', value=0.46422179299637312 +/- 2.46, bounds=[1e-15:100]>), ('m0_gamma', <Parameter 'm0_gamma', value=1 (fixed), bounds=[1e-15:10]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.43444473211680756 +/- 0.0135, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=616.55754070181285 +/- 740, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=83.568410311180017 +/- 3.23, bounds=[1:300]>), ('m1_skew', <Parameter 'm1_skew', value=1.9276534820810436e-09 +/- 6.5, bounds=[1e-15:100]>), ('m1_gamma', <Parameter 'm1_gamma', value=1 (fixed), bounds=[1e-15:10]>)])"
8,Moffat+Moffat,2,-0.0117411930672,-5869.65838839,-5837.31732572,-0.003,19.3673970169,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.000678601877536101 +/- nan, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=451.85898815970745 +/- 1.49e+07, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=1.0000000593485936 +/- 3.46e+04, bounds=[1:300]>), ('m0_beta', <Parameter 'm0_beta', value=0.021902960692677831 +/- 7.32e+04, bounds=[1e-15:100]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=14891277.277033223 +/- 0, bounds=[-inf:inf], expr='2*m0_sigma*sqrt(2**(1.0/max(1e-3, m0_beta))-1)'>), ('m0_height', <Parameter 'm0_height', value=0.000678601877536101 +/- 0, bounds=[-inf:inf], expr='m0_amplitude'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.00067860188262092245 +/- nan, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=451.85898429591577 +/- 1.49e+07, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=1.0000000593590503 +/- 3.46e+04, bounds=[1:300]>), ('m1_beta', <Parameter 'm1_beta', value=0.02190321578867771 +/- 7.32e+04, bounds=[1e-15:100]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=14888533.300974602 +/- 0, bounds=[-inf:inf], expr='2*m1_sigma*sqrt(2**(1.0/max(1e-3, m1_beta))-1)'>), ('m1_height', <Parameter 'm1_height', value=0.00067860188262092245 +/- 0, bounds=[-inf:inf], expr='m1_amplitude'>)])"
9,SkewedGaussian+SkewedGaussian,2,0.773915845712,-6500.53563888,-6468.19457621,-0.01,30.8749233493,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.043628825435394369 +/- 0.00342, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=442.41598132926686 +/- 2.66, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=10.852259915436937 +/- 2.48, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=1.3284477070552043 +/- 0.969, bounds=[-100:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.42633834308674168 +/- 0.00966, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=697.18403242629108 +/- 1.5, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=135.3368115333501 +/- 4.3, bounds=[1:300]>), ('m1_gamma', <Parameter 'm1_gamma', value=-7.6795910020391602 +/- 1.04, bounds=[-100:100]>)])"
