,name,number_functions,r2,aic,bic,power_dev,duv,model
0,logistic_asymm_peak+logistic_asymm_peak,2,-1.44520526629,-5804.70111477,-5772.3600521,-1.0,515.709383631,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=99.968663293753423, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=787.25475243185019, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=1.0000019970616871, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=97.803232196067796, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=99.979095682919223, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=546.47701581695924, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=34.067880030273642, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=86.91291991060524, bounds=[1e-15:100]>)])"
1,pearson_vii+pearson_vii,2,-0.0164530074712,-6174.25910356,-6141.91804089,-0.019,73.3210198595,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.00075169915666018015 +/- 5.06e+03, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=450.74816694074212 +/- 7.75e+08, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=8.2383209323285804 +/- 4.23e+08, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=0.00099186387624394887 +/- 1.18e+06, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.00075169915666018015 +/- 5.06e+03, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=450.74816694075292 +/- 7.75e+08, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=8.2383209322937425 +/- 4.41e+08, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=0.00099186387359606696 +/- 1.18e+06, bounds=[1e-15:100]>)])"
2,Lognormal+Lognormal,2,-1.43342114453,-5808.70111477,-5784.44531777,-1.0,,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=450.0, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m0_height', <Parameter 'm0_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m0_amplitude/max(1e-15, (m0_sigma*sqrt(2*pi)))*exp(m0_sigma**2/2-m0_center)'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m0_center-m0_sigma**2+m0_sigma*sqrt(2*log(2)))-exp(m0_center-m0_sigma**2-m0_sigma*sqrt(2*log(2)))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=450.0, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m1_height', <Parameter 'm1_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m1_amplitude/max(1e-15, (m1_sigma*sqrt(2*pi)))*exp(m1_sigma**2/2-m1_center)'>), ('m1_fwhm', <Parameter 'm1_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m1_center-m1_sigma**2+m1_sigma*sqrt(2*log(2)))-exp(m1_center-m1_sigma**2-m1_sigma*sqrt(2*log(2)))'>)])"
3,logistic_power_peak+logistic_power_peak,2,0.982033957074,-7873.24288516,-7840.90182249,0.01,3.68439678969,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=1.0000000000000001e-15, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=401.66690089871975, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=26.396620376229908, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=11.751450855285254, bounds=[0.001:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0018619974245192026, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=616.92258548943005, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=57.126512930201223, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=0.27243172699165252, bounds=[0.001:100]>)])"
4,lorentzian_sec_ord+lorentzian_sec_ord,2,0.964286433631,-7585.96221259,-7561.70641558,0.03,7.79724352402,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0018986122601104558 +/- 1.52e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=608.57569642713361 +/- 0.593, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=115.16318143464454 +/- 1.27, bounds=[1:300]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0003335128165481435 +/- 4.68e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=452.3159455356772 +/- 1.07, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=11.801260433960445 +/- 2.19, bounds=[1:300]>)])"
5,Gaussian+Gaussian,2,0.963413094981,-7575.79095233,-7551.53515533,-0.002,11.1513907253,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.32197376501939645 +/- 0.00241, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=605.3084177001417 +/- 0.612, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=71.24139214856089 +/- 0.619, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=167.76065505927417 +/- 1.46, bounds=[-inf:inf], expr='2.3548200*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.0018030101670197683 +/- 1.34e-05, bounds=[-inf:inf], expr='0.3989423*m0_amplitude/max(1e-15, m0_sigma)'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=9.382236230248777e-05 +/- 7.08e+07, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=797.7305827069159 +/- 5.99e+11, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=1.7348581898777096 +/- 9.09e+10, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=4.085278762687828 +/- 2.14e+11, bounds=[-inf:inf], expr='2.3548200*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=2.1575082751303262e-05 +/- 1.73e+07, bounds=[-inf:inf], expr='0.3989423*m1_amplitude/max(1e-15, m1_sigma)'>)])"
6,sigmoid_double_asymm+sigmoid_double_asymm,2,0.990658299552,-8146.61854744,-8106.1922191,0.006,3.20919165546,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.00082891433517795563 +/- 0.000408, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=650.71407172248951 +/- 13.9, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=95.213537473760255 +/- 37.4, bounds=[1:300]>), ('m0_s1', <Parameter 'm0_s1', value=29.606126090732243 +/- 7.02, bounds=[1e-15:100]>), ('m0_s2', <Parameter 'm0_s2', value=13.409800009977181 +/- 3.39, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0015626539272460835 +/- 7.33e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=584.03774077694777 +/- 4.78, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=155.66255985254881 +/- 6.83, bounds=[1:300]>), ('m1_s1', <Parameter 'm1_s1', value=21.619188895681791 +/- 5.43, bounds=[1e-15:100]>), ('m1_s2', <Parameter 'm1_s2', value=34.090755391682556 +/- 1.4, bounds=[1e-15:100]>)])"
7,gaussian_split+gaussian_split,2,0.990921140959,-8160.59009642,-8128.24903375,0.004,2.85282747579,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.44427392407804345 +/- 0.0437, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=588.93456041081402 +/- 5.32, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=75.621640012564086 +/- 2.51, bounds=[1:300]>), ('m0_sigmar', <Parameter 'm0_sigmar', value=50.507018961968399 +/- 8.01, bounds=[1:300]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.20107424210195168 +/- 0.0431, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=639.54440416342334 +/- 3.54, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=28.231199184141872 +/- 1.74, bounds=[1:300]>), ('m1_sigmar', <Parameter 'm1_sigmar', value=54.511423833364667 +/- 3.05, bounds=[1:300]>)])"
8,Lorentzian+Lorentzian,2,0.935821854205,-7339.20059106,-7314.94479406,0.044,12.2050617827,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.42236722362143475, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=610.02204531531083, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=68.88806578257919, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=137.77613156515838, bounds=[-inf:inf], expr='2.0000000*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.0019516249612602046, bounds=[-inf:inf], expr='0.3183099*m0_amplitude/max(1e-15, m0_sigma)'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=6.6567870326278132e-12, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=607.74016886663946, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=299.97306370555117, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=599.94612741110234, bounds=[-inf:inf], expr='2.0000000*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=7.0637049490448763e-15, bounds=[-inf:inf], expr='0.3183099*m1_amplitude/max(1e-15, m1_sigma)'>)])"
9,Moffat+Moffat,2,-0.0145278450933,-6175.05723378,-6142.71617111,-0.002,73.0046344741,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0003804754035173782 +/- 2.3e+03, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=453.80324803543556 +/- 7.52e+08, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=1.0081983579775438 +/- 1.86e+07, bounds=[1:300]>), ('m0_beta', <Parameter 'm0_beta', value=1.820310648872944e-11 +/- 426, bounds=[1e-15:100]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=6.600454071800008e+150 +/- inf, bounds=[-inf:inf], expr='2*m0_sigma*sqrt(2**(1.0/max(1e-3, m0_beta))-1)'>), ('m0_height', <Parameter 'm0_height', value=0.0003804754035173782 +/- 2.3e+03, bounds=[-inf:inf], expr='m0_amplitude'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.00038047540352292934 +/- 2.3e+03, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=453.8032480726088 +/- 7.71e+08, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=1.008198366731789 +/- 1.9e+07, bounds=[1:300]>), ('m1_beta', <Parameter 'm1_beta', value=1.7986612998927535e-11 +/- 424, bounds=[1e-15:100]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=6.6004541291121369e+150 +/- inf, bounds=[-inf:inf], expr='2*m1_sigma*sqrt(2**(1.0/max(1e-3, m1_beta))-1)'>), ('m1_height', <Parameter 'm1_height', value=0.00038047540352292934 +/- 2.3e+03, bounds=[-inf:inf], expr='m1_amplitude'>)])"
