,name,number_functions,r2,aic,bic,power_dev,duv,model
10,Voigt+Voigt,2,0.947922489137,-7340.53837414,-7316.28257714,0.046,8.38097186036,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=9.25450927082841e-09 +/- 0.0312, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=794.1465349714477 +/- 4.82e+08, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=100.87788733960714 +/- 3.27e+08, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=100.87788733960714 +/- 3.27e+08, bounds=[-inf:inf], expr='m0_sigma'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=363.29059127632462 +/- 7.16e+08, bounds=[-inf:inf], expr='1.0692*m0_gamma+sqrt(0.8664*m0_gamma**2+5.545083*m0_sigma**2)'>), ('m0_height', <Parameter 'm0_height', value=1.9146931229648333e-11 +/- 4.05e-05, bounds=[-inf:inf], expr='(m0_amplitude/(max(1e-15, m0_sigma*sqrt(2*pi))))*wofz((1j*m0_gamma)/(max(1e-15, m0_sigma*sqrt(2)))).real'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.28003011255928845 +/- 0.0098, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=559.5436502283198 +/- 0.615, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=27.442716185178288 +/- 0.685, bounds=[1:300]>), ('m1_gamma', <Parameter 'm1_gamma', value=27.442716185178288 +/- 0.685, bounds=[-inf:inf], expr='m1_sigma'>), ('m1_fwhm', <Parameter 'm1_fwhm', value=98.829196884136593 +/- 1.5, bounds=[-inf:inf], expr='1.0692*m1_gamma+sqrt(0.8664*m1_gamma**2+5.545083*m1_sigma**2)'>), ('m1_height', <Parameter 'm1_height', value=0.0021297047610707195 +/- 5.42e-05, bounds=[-inf:inf], expr='(m1_amplitude/(max(1e-15, m1_sigma*sqrt(2*pi))))*wofz((1j*m1_gamma)/(max(1e-15, m1_sigma*sqrt(2)))).real'>)])"
11,sigmoid_double_asymm+sigmoid_double_asymm,2,0.997881053821,-8684.57971764,-8644.1533893,-0.004,1.00670304474,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0020472696271821586 +/- 1.45e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=562.62990416434798 +/- 0.292, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=106.80046485936211 +/- 0.714, bounds=[1:300]>), ('m0_s1', <Parameter 'm0_s1', value=28.174440000846111 +/- 0.375, bounds=[1e-15:100]>), ('m0_s2', <Parameter 'm0_s2', value=6.7649170939481591 +/- 0.12, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.00013787742406223903 +/- 4.72e-06, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=509.4019820502748 +/- 1.15, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=175.62460869922774 +/- 2.33, bounds=[1:300]>), ('m1_s1', <Parameter 'm1_s1', value=5.2908484404572418 +/- 1.24, bounds=[1e-15:100]>), ('m1_s2', <Parameter 'm1_s2', value=3.5846621473741744 +/- 1.01, bounds=[1e-15:100]>)])"
12,SkewedVoigt+SkewedVoigt,2,0.994614088489,-8293.79872893,-8261.45766626,-0.02,5.64273416215,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.147282621853002 +/- 0.0053, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=508.71579852410383 +/- 0.295, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=80.537636442269076 +/- 2.18, bounds=[1:300]>), ('m0_skew', <Parameter 'm0_skew', value=8.7428623246256301 +/- 0.523, bounds=[1e-15:100]>), ('m0_gamma', <Parameter 'm0_gamma', value=1 (fixed), bounds=[1e-15:10]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.093843146520900977 +/- 0.00504, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=564.54854944358806 +/- 62.8, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=46.998001062864986 +/- 1.16, bounds=[1:300]>), ('m1_skew', <Parameter 'm1_skew', value=1.0684898411294969e-08 +/- 1.66, bounds=[1e-15:100]>), ('m1_gamma', <Parameter 'm1_gamma', value=1 (fixed), bounds=[1e-15:10]>)])"
13,pearson_vii_split+pearson_vii_split,2,0.990668547613,-8058.51275602,-8010.00116201,-0.028,8.83853718797,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0021072325535785872 +/- 1.08e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=533.95466795343077 +/- 0.568, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=25.428304910412521 +/- 0.541, bounds=[1:300]>), ('m0_sigmar', <Parameter 'm0_sigmar', value=80.223032076453293 +/- 0.966, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=99.999999999823686 +/- 85, bounds=[1e-15:100]>), ('m0_sr', <Parameter 'm0_sr', value=99.999991692127736 +/- 536, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=1.2483977513856015e-05 +/- 1.76e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=718.06313784368035 +/- 108, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=12.102223884169307 +/- 117, bounds=[1:300]>), ('m1_sigmar', <Parameter 'm1_sigmar', value=86.512729837608774 +/- 1.17e+03, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=64.816750022092791 +/- 7.4e+04, bounds=[1e-15:100]>), ('m1_sr', <Parameter 'm1_sr', value=99.999469849576414 +/- 1.33e+06, bounds=[1e-15:100]>)])"
14,Moffat+Moffat,2,0.953624142391,-7387.38890793,-7355.04784526,-0.0,4.061222132,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.002041873659409555 +/- 3.41e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=560.6467702983143 +/- 0.575, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=299.92211233484784 +/- 257, bounds=[1:300]>), ('m0_beta', <Parameter 'm0_beta', value=23.646357046378014 +/- 40.5, bounds=[1e-15:100]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=103.45690707506135 +/- 1.97, bounds=[-inf:inf], expr='2*m0_sigma*sqrt(2**(1.0/max(1e-3, m0_beta))-1)'>), ('m0_height', <Parameter 'm0_height', value=0.002041873659409555 +/- 3.41e-05, bounds=[-inf:inf], expr='m0_amplitude'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=4.361465180224924e-05 +/- 2.35e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=481.4544762906768 +/- 1.45e+10, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=254.84449405487064 +/- 3.68e+10, bounds=[1:300]>), ('m1_beta', <Parameter 'm1_beta', value=3.216659169246466e-10 +/- 0.819, bounds=[1e-15:100]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=1.6684111466265154e+153 +/- inf, bounds=[-inf:inf], expr='2*m1_sigma*sqrt(2**(1.0/max(1e-3, m1_beta))-1)'>), ('m1_height', <Parameter 'm1_height', value=4.361465180224924e-05 +/- 2.35e-05, bounds=[-inf:inf], expr='m1_amplitude'>)])"
15,StudentsT+StudentsT,2,-0.686517022368,-5876.43191749,-5852.17612049,-0.993,497.957441136,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0008124537073171963 +/- 4.21e+05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=449.49706987958757 +/- 6.35e+07, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=1.0000008457476386 +/- 3.66e+05, bounds=[1:300]>), ('m0_height', <Parameter 'm0_height', value=0.00025861208935096247 +/- 1.34e+05, bounds=[-inf:inf], expr='m0_amplitude*gamfcn((m0_sigma+1)/2)/(sqrt(m0_sigma*pi)*gamfcn(m0_sigma/2))'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=2.0000002595198687 +/- 1.12e+05, bounds=[-inf:inf], expr='2*sqrt(2**(2/(m0_sigma+1))*m0_sigma-m0_sigma)'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.000812453550781301 +/- 4.21e+05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=449.49706997858374 +/- 6.35e+07, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=1.0000008469979202 +/- 3.66e+05, bounds=[1:300]>), ('m1_height', <Parameter 'm1_height', value=0.0002586120395864831 +/- 1.34e+05, bounds=[-inf:inf], expr='m1_amplitude*gamfcn((m1_sigma+1)/2)/(sqrt(m1_sigma*pi)*gamfcn(m1_sigma/2))'>), ('m1_fwhm', <Parameter 'm1_fwhm', value=2.0000002599035205 +/- 1.12e+05, bounds=[-inf:inf], expr='2*sqrt(2**(2/(m1_sigma+1))*m1_sigma-m1_sigma)'>)])"
16,pearson_vii+pearson_vii,2,0.952433582197,-7376.71740403,-7344.37634136,-0.018,4.20464460467,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=1.2102230246251566e-14, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=405.00397534822713, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=61.869470511022435, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=10.263960620696562, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0020863594533470095, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=560.62252798615464, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=52.548197067230696, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=6.8783356038679475, bounds=[1e-15:100]>)])"
17,ExponentialGaussian+ExponentialGaussian,2,0.983822507408,-7830.76846113,-7798.42739846,-0.027,7.44509063075,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.32641037598010836 +/- 0.0157, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=515.92164058478079 +/- 1.01, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=26.338998973537979 +/- 0.866, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=0.013043876594309722 +/- 0.000452, bounds=[-100:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=65.343352190354167 +/- 1.77e+04, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=473.06692815972838 +/- 1.7, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=4.6586099335401627 +/- 2.88, bounds=[1:300]>), ('m1_gamma', <Parameter 'm1_gamma', value=-3.832201187492501e-06 +/- 0.00139, bounds=[-100:100]>)])"
18,Pearson7+Pearson7,2,0.990849856968,-8070.67590849,-8038.33484582,0.001,1.91927650939,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.05761233929939091 +/- 0.00734, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=530.7666165797976 +/- 0.679, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=260.73177670168957 +/- 1.33e+03, bounds=[1:300]>), ('m0_expon', <Parameter 'm0_expon', value=99.6619885159759 +/- 1.01e+03, bounds=[1e-15:100]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=43.563973099775041 +/- 1.7, bounds=[-inf:inf], expr='sqrt(2**(1/m0_expon)-1)*2*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.0012398574884137196 +/- 0.000101, bounds=[-inf:inf], expr='m0_amplitude * gamfcn(m0_expon)/max(1e-15, (gamfcn(0.5)*gamfcn(m0_expon-0.5)*m0_sigma))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.19111504587203776 +/- 0.00692, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=578.053468933284 +/- 2.13, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=67.91111634460195 +/- 6.69, bounds=[1:300]>), ('m1_expon', <Parameter 'm1_expon', value=1.8995750334369466 +/- 0.21, bounds=[1e-15:100]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=90.131544385149851 +/- 3.14, bounds=[-inf:inf], expr='sqrt(2**(1/m1_expon)-1)*2*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=0.0017207531203475765 +/- 3.87e-05, bounds=[-inf:inf], expr='m1_amplitude * gamfcn(m1_expon)/max(1e-15, (gamfcn(0.5)*gamfcn(m1_expon-0.5)*m1_sigma))'>)])"
0,logistic_asymm_peak+logistic_asymm_peak+logistic_asymm_peak,3,-0.713343982161,-5863.91906662,-5815.40747262,-1.0,544.698596407,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=97.780212393207151, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=763.5839042445732, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=257.51962279261465, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=56.39237737993875, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=97.780212393207464, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=763.58390424452989, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=257.51962279368865, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=56.392377380006394, bounds=[1e-15:100]>), ('m2_amplitude', <Parameter 'm2_amplitude', value=8.4151491251155477, bounds=[1e-15:100]>), ('m2_center', <Parameter 'm2_center', value=484.90202507869333, bounds=[400:800]>), ('m2_sigma', <Parameter 'm2_sigma', value=278.79175169415151, bounds=[1:300]>), ('m2_s', <Parameter 'm2_s', value=82.075644572816117, bounds=[1e-15:100]>)])"
